profile_name,survey_name,date,year,is_reference,n_master_pts,n_valid_pts,pct_valid,mean_rho,median_rho,weighted_mean_rho,std_rho
CH_ATT_MV1,CH_ATT_MV1_2007-08-25_01,2007-08-25,2007,True,228,228,100.0,35114.90235111748,29889.081550830582,35732.91992245287,17256.944969753476
CH_ATT_MV1,CH_ATT_MV1_2008-07-16_01,2008-07-16,2008,False,228,228,100.0,33989.794743140985,35033.774383472155,34403.71046734415,9820.031412857203
CH_ATT_MV1,CH_ATT_MV1_2008-11-10_01,2008-11-10,2008,False,228,228,100.0,33339.03479963624,33386.089694767856,32966.16856137245,12959.270283938986
CH_ATT_MV1,CH_ATT_MV1_2010-07-14_01,2010-07-14,2010,False,228,228,100.0,36713.81879540362,35756.95433963144,36877.12160584647,19076.47336759761
CH_ATT_MV1,CH_ATT_MV1_2014-09-30_01,2014-09-30,2014,False,228,228,100.0,31371.34307221417,27096.11938416952,30768.392987625157,17507.488431290247
CH_ATT_MV1,CH_ATT_MV1_2016-09-23_01,2016-09-23,2016,False,228,228,100.0,25210.88497649383,26049.79637257557,24835.180931612897,4900.158287350273
CH_ATT_MV1,CH_ATT_MV1_2017-09-25_01,2017-09-25,2017,False,228,228,100.0,26895.388522571793,27280.320305899426,26511.4164972626,5786.602931618215
CH_ATT_MV1,CH_ATT_MV1_2018-10-15_01,2018-10-15,2018,False,228,228,100.0,29063.110481073556,28224.666976424793,28923.243321282058,11483.382270950186
CH_ATT_MV1,CH_ATT_MV1_2019-09-17_01,2019-09-17,2019,False,228,228,100.0,26492.245327292236,25546.286084781925,26751.383071224987,8051.512108578622
CH_ATT_MV1,CH_ATT_MV1_2020-09-22_01,2020-09-22,2020,False,228,228,100.0,28948.45302752255,23141.49037120382,29418.315948185602,17650.559705031174
CH_ATT_MV1,CH_ATT_MV1_2021-09-24_01,2021-09-24,2021,False,228,228,100.0,24369.037366531003,25354.629906418588,24301.247017745347,5007.379634720545
CH_ATT_MV1,CH_ATT_MV1_2022-10-07_01,2022-10-07,2022,False,228,228,100.0,24008.13634721329,24653.49962836907,23892.15485689725,4260.688482863436
