survey_name,profile_name,year,date,n_cells,mesh_total_cells,percent_used,span_x,span_z,span_xy,surface_m2,weighted_mean_rho,median_rho,std_rho
CH_DOL_H01_2015-09-29_01,CH_DOL_H01,2015,2015-09-29,76,1731,4.39052570768342,111.92592130520148,26.13787779107254,114.9373764945033,2847.284146051537,150421.70106670176,123396.88622335249,68101.64683557805
CH_DOL_V01_2016-08-11_01,CH_DOL_V01,2016,2016-08-11,31,877,3.5347776510832385,53.81293617924807,15.4213782335724,55.97902291800676,686.2309058533956,459449.80601816735,436806.7072245152,136591.6831540331
IT_CER_CB1_2013-08-16_01,IT_CER_CB1,2013,2013-08-16,34,746,4.557640750670242,45.805318911064646,6.931581201673019,46.32681791899508,81.12887678593003,25712.240030569345,25036.316742682127,3979.999239531246
IT_CER_CB1_2013-10-09_01,IT_CER_CB1,2013,2013-10-09,47,746,6.3002680965147455,34.834779311467926,7.721600631410411,35.68031622603241,152.31355115884506,33628.055582389825,31897.75544517292,7882.698085217736
IT_CER_CB1_2014-09-14_01,IT_CER_CB1,2014,2014-09-14,85,746,11.394101876675602,50.59663647611215,13.342104957299965,52.32620172903295,459.3805943377127,21741.482543665577,20994.84433704016,2737.9628324327014
IT_CER_CB1_2015-07-21_01,IT_CER_CB1,2015,2015-07-21,72,746,9.6514745308311,47.926155317139205,13.984488985820574,49.92476635575861,419.654558795674,25454.91837518457,25231.47277495612,3780.5706828191423
IT_CER_CB1_2015-08-20_01,IT_CER_CB1,2015,2015-08-20,33,746,4.423592493297587,24.899123360882168,9.453414935127627,26.633313689365096,213.4546534123106,27536.765076614032,26999.57523897884,4855.777928011077
IT_CER_CB1_2016-08-24_01,IT_CER_CB1,2016,2016-08-24,74,746,9.919571045576408,56.56142601006131,15.020429250182122,58.52186093376873,441.9018460338322,21519.841146584764,21533.90422311829,2740.7626265727176
IT_CER_CB1_2018-08-23_01,IT_CER_CB1,2018,2018-08-23,62,746,8.310991957104557,44.61981928032724,13.342104957299965,46.5718803281623,382.9085988958541,22290.15499686197,22176.647798577927,3169.9629520726035
IT_CER_CB1_2021-08-23_01,IT_CER_CB1,2021,2021-08-23,81,746,10.857908847184987,53.71407451746009,15.171098706732352,55.81544622446973,447.9544962292167,19439.935357926668,19160.31649940675,2088.222402210064
CH_ATT_MV1_2022-10-07_01,CH_ATT_MV1,2022,2022-10-07,180,762,23.62204724409449,85.91056890677537,48.44188764319317,98.62678301719848,1645.696345105145,24283.821240551584,24439.802946374904,3336.150983979811
CH_ATT_MV1_2021-09-24_01,CH_ATT_MV1,2021,2021-09-24,176,762,23.097112860892388,85.91056890677537,47.56451990046338,98.19882587509576,1557.068184197618,25130.42560862433,25525.72684811952,4181.066974161987
CH_ATT_MV1_2020-09-22_01,CH_ATT_MV1,2020,2020-09-22,38,762,4.986876640419948,42.609542676720096,19.026969832397995,46.66474802377287,175.43631616760902,53608.46418942847,42246.08717521344,21477.20979028401
CH_ATT_MV1_2019-09-17_01,CH_ATT_MV1,2019,2019-09-17,146,762,19.16010498687664,84.31824405810913,45.576215914842166,95.84757554658944,1010.6112658365842,30416.89690552614,27616.39033415113,7232.813213657636
CH_ATT_MV1_2018-10-15_01,CH_ATT_MV1,2018,2018-10-15,87,762,11.417322834645669,80.3379623749254,38.02825028623969,88.88383440416945,581.3244558787281,38271.72437398334,38186.55051884129,9430.650186907942
CH_ATT_MV1_2017-09-25_01,CH_ATT_MV1,2017,2017-09-25,180,762,23.62204724409449,85.91056890677537,48.44188764319317,98.62678301719848,1645.696345105145,26489.12556181877,26491.743507805884,4349.317200273271
CH_ATT_MV1_2016-09-23_01,CH_ATT_MV1,2016,2016-09-23,182,762,23.88451443569554,91.96079070474778,47.56451990046338,103.53342735756412,1744.8004036464056,24546.23740627272,25301.0376359462,3847.735224284872
CH_ATT_MV1_2014-09-30_01,CH_ATT_MV1,2014,2014-09-30,52,762,6.824146981627297,48.719573082476174,19.655036272215145,52.5349146016326,324.900712095185,38912.38204886811,36771.63957297824,9219.65221592478
CH_ATT_MV1_2010-07-14_01,CH_ATT_MV1,2010,2010-07-14,140,762,18.37270341207349,80.93724101331388,39.90877661090229,90.24160588900313,1025.2299361651603,41923.71963673112,39198.62590199092,14652.167046946231
CH_ATT_MV1_2008-11-10_01,CH_ATT_MV1,2008,2008-11-10,151,762,19.816272965879264,85.87234539585494,41.21804676622169,95.25222875611595,1169.3893179007373,34641.89562164058,33435.02760549792,8020.6168418572515
CH_ATT_MV1_2008-07-16_01,CH_ATT_MV1,2008,2008-07-16,173,762,22.703412073490814,85.91056890677537,47.56451990046338,98.19882587509576,1418.4494350964771,37292.47667433145,37266.11238344227,7809.135155915378
CH_ATT_MV1_2007-08-25_01,CH_ATT_MV1,2007,2007-08-25,72,762,9.448818897637794,37.60339390343651,19.995112717188448,42.58896295556018,512.7233569933944,46087.02305428201,42803.26196962892,13040.083202735486
CH_STT_S07_2019-09-12_01,CH_STT_S07,2019,2019-09-12,12,543,2.209944751381216,10.019239997403927,2.30513560308814,10.280993156023555,24.28499377251584,53377.20510752941,50349.96616943256,23248.890633221552
CH_DOL_H01_2015-09-29_01,CH_DOL_H01,2015,2015-09-29,76,1731,4.39052570768342,111.92592130520148,26.13787779107254,114.9373764945033,2847.284146051537,150421.70106670176,123396.88622335249,68101.64683557805
CH_DOL_V01_2016-08-11_01,CH_DOL_V01,2016,2016-08-11,31,877,3.5347776510832385,53.81293617924807,15.4213782335724,55.97902291800676,686.2309058533956,459449.80601816735,436806.7072245152,136591.6831540331
IT_CER_CB1_2013-08-16_01,IT_CER_CB1,2013,2013-08-16,34,746,4.557640750670242,45.805318911064646,6.931581201673019,46.32681791899508,81.12887678593003,25712.240030569345,25036.316742682127,3979.999239531246
IT_CER_CB1_2013-10-09_01,IT_CER_CB1,2013,2013-10-09,47,746,6.3002680965147455,34.834779311467926,7.721600631410411,35.68031622603241,152.31355115884506,33628.055582389825,31897.75544517292,7882.698085217736
IT_CER_CB1_2014-09-14_01,IT_CER_CB1,2014,2014-09-14,85,746,11.394101876675602,50.59663647611215,13.342104957299965,52.32620172903295,459.3805943377127,21741.482543665577,20994.84433704016,2737.9628324327014
IT_CER_CB1_2015-07-21_01,IT_CER_CB1,2015,2015-07-21,72,746,9.6514745308311,47.926155317139205,13.984488985820574,49.92476635575861,419.654558795674,25454.91837518457,25231.47277495612,3780.5706828191423
IT_CER_CB1_2015-08-20_01,IT_CER_CB1,2015,2015-08-20,33,746,4.423592493297587,24.899123360882168,9.453414935127627,26.633313689365096,213.4546534123106,27536.765076614032,26999.57523897884,4855.777928011077
IT_CER_CB1_2016-08-24_01,IT_CER_CB1,2016,2016-08-24,74,746,9.919571045576408,56.56142601006131,15.020429250182122,58.52186093376873,441.9018460338322,21519.841146584764,21533.90422311829,2740.7626265727176
IT_CER_CB1_2018-08-23_01,IT_CER_CB1,2018,2018-08-23,62,746,8.310991957104557,44.61981928032724,13.342104957299965,46.5718803281623,382.9085988958541,22290.15499686197,22176.647798577927,3169.9629520726035
IT_CER_CB1_2021-08-23_01,IT_CER_CB1,2021,2021-08-23,81,746,10.857908847184987,53.71407451746009,15.171098706732352,55.81544622446973,447.9544962292167,19439.935357926668,19160.31649940675,2088.222402210064
CH_ATT_MV1_2022-10-07_01,CH_ATT_MV1,2022,2022-10-07,180,762,23.62204724409449,85.91056890677537,48.44188764319317,98.62678301719848,1645.696345105145,24283.821240551584,24439.802946374904,3336.150983979811
CH_ATT_MV1_2021-09-24_01,CH_ATT_MV1,2021,2021-09-24,176,762,23.097112860892388,85.91056890677537,47.56451990046338,98.19882587509576,1557.068184197618,25130.42560862433,25525.72684811952,4181.066974161987
CH_ATT_MV1_2020-09-22_01,CH_ATT_MV1,2020,2020-09-22,38,762,4.986876640419948,42.609542676720096,19.026969832397995,46.66474802377287,175.43631616760902,53608.46418942847,42246.08717521344,21477.20979028401
CH_ATT_MV1_2019-09-17_01,CH_ATT_MV1,2019,2019-09-17,146,762,19.16010498687664,84.31824405810913,45.576215914842166,95.84757554658944,1010.6112658365842,30416.89690552614,27616.39033415113,7232.813213657636
CH_ATT_MV1_2018-10-15_01,CH_ATT_MV1,2018,2018-10-15,87,762,11.417322834645669,80.3379623749254,38.02825028623969,88.88383440416945,581.3244558787281,38271.72437398334,38186.55051884129,9430.650186907942
CH_ATT_MV1_2017-09-25_01,CH_ATT_MV1,2017,2017-09-25,180,762,23.62204724409449,85.91056890677537,48.44188764319317,98.62678301719848,1645.696345105145,26489.12556181877,26491.743507805884,4349.317200273271
CH_ATT_MV1_2016-09-23_01,CH_ATT_MV1,2016,2016-09-23,182,762,23.88451443569554,91.96079070474778,47.56451990046338,103.53342735756412,1744.8004036464056,24546.23740627272,25301.0376359462,3847.735224284872
CH_ATT_MV1_2014-09-30_01,CH_ATT_MV1,2014,2014-09-30,52,762,6.824146981627297,48.719573082476174,19.655036272215145,52.5349146016326,324.900712095185,38912.38204886811,36771.63957297824,9219.65221592478
CH_ATT_MV1_2010-07-14_01,CH_ATT_MV1,2010,2010-07-14,140,762,18.37270341207349,80.93724101331388,39.90877661090229,90.24160588900313,1025.2299361651603,41923.71963673112,39198.62590199092,14652.167046946231
CH_ATT_MV1_2008-11-10_01,CH_ATT_MV1,2008,2008-11-10,151,762,19.816272965879264,85.87234539585494,41.21804676622169,95.25222875611595,1169.3893179007373,34641.89562164058,33435.02760549792,8020.6168418572515
CH_ATT_MV1_2008-07-16_01,CH_ATT_MV1,2008,2008-07-16,173,762,22.703412073490814,85.91056890677537,47.56451990046338,98.19882587509576,1418.4494350964771,37292.47667433145,37266.11238344227,7809.135155915378
CH_ATT_MV1_2007-08-25_01,CH_ATT_MV1,2007,2007-08-25,72,762,9.448818897637794,37.60339390343651,19.995112717188448,42.58896295556018,512.7233569933944,46087.02305428201,42803.26196962892,13040.083202735486
CH_STT_S07_2019-09-12_01,CH_STT_S07,2019,2019-09-12,12,543,2.209944751381216,10.019239997403927,2.30513560308814,10.280993156023555,24.28499377251584,53377.20510752941,50349.96616943256,23248.890633221552
CH_DOL_H01_2015-09-29_01,CH_DOL_H01,2015,2015-09-29,87,1731,5.025996533795494,230.55728961390523,21.65449920988968,231.5719782921528,3487.2154928926566,129047.65209044635,108891.82942207446,76559.22543006639
CH_DOL_V01_2016-08-11_01,CH_DOL_V01,2016,2016-08-11,29,877,3.30672748004561,53.13499532473304,13.475318560189397,54.81707706963211,666.8176988271289,412229.007578242,413026.3871780548,157814.2304226152
IT_CER_CB1_2013-08-16_01,IT_CER_CB1,2013,2013-08-16,82,746,10.99195710455764,53.34754745145278,7.904419007339481,53.92996067983543,262.2561850066589,24504.407037225938,22956.56231689732,5240.039686036743
IT_CER_CB1_2013-10-09_01,IT_CER_CB1,2013,2013-10-09,67,746,8.981233243967829,42.79109884998924,8.032726885206412,43.53852135755035,202.4056530630639,28919.4002667858,26873.4317691618,9586.86992508784
IT_CER_CB1_2014-09-14_01,IT_CER_CB1,2014,2014-09-14,116,746,15.549597855227882,80.49343242769822,13.402655278807597,81.60161660478896,492.8733175230623,19833.97552205088,19272.456314747244,3677.504395041984
IT_CER_CB1_2015-07-21_01,IT_CER_CB1,2015,2015-07-21,112,746,15.013404825737265,74.80909727784956,15.79173254485121,76.457699758068,530.0819760116458,21999.60162888633,20507.235456927163,4813.829130797208
IT_CER_CB1_2015-08-20_01,IT_CER_CB1,2015,2015-08-20,74,746,9.919571045576408,47.00724624604515,12.96185296583108,48.76157126205174,373.3980513942664,21483.42281771475,19810.336289725183,5550.461380023915
IT_CER_CB1_2016-08-24_01,IT_CER_CB1,2016,2016-08-24,109,746,14.611260053619302,64.51439428701114,13.954983504653324,66.00642873868486,511.49081828752287,19370.69650544982,18220.046406673824,3486.154259856911
IT_CER_CB1_2018-08-23_01,IT_CER_CB1,2018,2018-08-23,99,746,13.27077747989276,80.669116170039,16.32451337141941,82.3042893199917,531.5039163738593,19284.09129155591,18580.678372237835,3958.92091201577
IT_CER_CB1_2021-08-23_01,IT_CER_CB1,2021,2021-08-23,110,746,14.745308310991955,59.23190716903426,13.49115514116275,60.74891022828322,496.2377015936454,17862.973725966553,17583.737713023744,2676.5647733282585
CH_ATT_MV1_2022-10-07_01,CH_ATT_MV1,2022,2022-10-07,178,762,23.35958005249344,98.91032222109028,45.576215914842166,108.90566238261542,1620.6575335992402,24071.018786022003,24510.99881287833,3921.229543550821
CH_ATT_MV1_2021-09-24_01,CH_ATT_MV1,2021,2021-09-24,177,762,23.228346456692915,98.91032222109028,45.042529690043565,108.68339948105395,1610.7997480444496,24767.09486451565,25511.03352153057,4753.681093816702
CH_ATT_MV1_2020-09-22_01,CH_ATT_MV1,2020,2020-09-22,108,762,14.173228346456693,81.69057710956653,42.16924379656253,91.93255957966124,715.8124777084794,37185.38155146837,27289.033133558456,20313.8068990054
CH_ATT_MV1_2019-09-17_01,CH_ATT_MV1,2019,2019-09-17,148,762,19.42257217847769,85.87234539585494,41.85463412184838,95.5294200822909,1190.1346829752315,29167.09523745977,26849.57313413472,7987.552489321342
CH_ATT_MV1_2018-10-15_01,CH_ATT_MV1,2018,2018-10-15,111,762,14.566929133858268,80.3379623749254,35.91301400784094,87.99961803145686,757.6235320724804,33121.93809944853,30732.49786204374,11791.181421147292
CH_ATT_MV1_2017-09-25_01,CH_ATT_MV1,2017,2017-09-25,177,762,23.228346456692915,98.91032222109028,45.042529690043565,108.68339948105395,1610.7997480444496,26348.813558102232,26754.38391577578,4801.442140513738
CH_ATT_MV1_2016-09-23_01,CH_ATT_MV1,2016,2016-09-23,185,762,24.27821522309712,103.4102832789614,46.62271010419118,113.43440300585398,1694.3319687194785,23885.50434211026,24888.53844759476,4900.173317919831
CH_ATT_MV1_2014-09-30_01,CH_ATT_MV1,2014,2014-09-30,79,762,10.36745406824147,60.14775640638963,21.38409139304688,63.83597704608716,530.3975721161263,33833.45460229927,35044.70904321194,12541.69002610238
CH_ATT_MV1_2010-07-14_01,CH_ATT_MV1,2010,2010-07-14,151,762,19.816272965879264,88.72573654134888,42.28751082247927,98.28779118672956,1217.7382205465374,40110.99076034262,37652.29090555736,17238.12239997937
CH_ATT_MV1_2008-11-10_01,CH_ATT_MV1,2008,2008-11-10,155,762,20.341207349081365,85.91056890677537,41.97290114776512,95.61563826407196,1241.3732665068949,33395.70962279051,33235.09563361534,8969.030646098268
CH_ATT_MV1_2008-07-16_01,CH_ATT_MV1,2008,2008-07-16,172,762,22.57217847769029,88.72573654134888,45.09755801373219,99.52912168610146,1535.0801673698709,36831.67465050554,37075.6929254102,8347.513548003177
CH_ATT_MV1_2007-08-25_01,CH_ATT_MV1,2007,2007-08-25,128,762,16.79790026246719,85.87234539585494,41.777129014592205,95.4954879169005,854.2011825337829,37807.92911889221,32971.58977918417,14209.66809095726
CH_STT_S07_2019-09-12_01,CH_STT_S07,2019,2019-09-12,0,543,0.0,0.0,0.0,0.0,0.0,,,
CH_DOL_H01_2015-09-29_01,CH_DOL_H01,2015,2015-09-29,297,1731,17.157712305025996,529.9138307089863,46.82932278929377,531.9789971884004,14079.84290653778,62317.38147819456,31415.55519190013,64035.47680229785
CH_DOL_V01_2016-08-11_01,CH_DOL_V01,2016,2016-08-11,159,877,18.129988597491447,185.3396278008735,56.71363178070919,193.8226345479913,4144.457677375439,220234.0071509198,129385.98201971131,205480.7513013037
IT_CER_CB1_2013-08-16_01,IT_CER_CB1,2013,2013-08-16,223,746,29.89276139410188,86.04644426553007,21.24833373661814,88.63115850153194,1103.1560593572003,19719.786328122573,17761.759098290706,6312.793029325582
IT_CER_CB1_2013-10-09_01,IT_CER_CB1,2013,2013-10-09,204,746,27.345844504021446,86.04644426553007,21.24833373661814,88.63115850153194,979.924100864812,19627.37008273727,15248.576901790197,10323.874845766586
IT_CER_CB1_2014-09-14_01,IT_CER_CB1,2014,2014-09-14,219,746,29.35656836461126,86.6910316348731,20.713393422400188,89.13124947508422,1101.9063009391512,17724.75901368096,16883.88430775829,4708.88601936067
IT_CER_CB1_2015-07-21_01,IT_CER_CB1,2015,2015-07-21,222,746,29.758713136729224,86.6910316348731,19.634889507311627,88.88680358682555,1121.6309305945822,19318.76385128345,17255.721062128905,5899.63237666123
